model_identifier,model_n,coef_pause,lci_pause,uci_pause,coef_pauseEnd,lci_pauseEnd,uci_pauseEnd,run_date
ejiEbmQ1_propGreen_main,116831,2.022644617,1.783242691,2.262046543,NA,NA,NA,2023-04-03T04:37:04Z
ejiEbmQ1_propMaroonRed_includeRecovery,146146,-4.483676427794538,-4.58390995996709,-4.383442895621985,-1.9832534421323613,-2.0700771829328057,-1.896429701331917,2023-04-06T06:43:14Z
ejiEbmQ1_propMaroonRed_main,116831,-4.483234073,-4.5822855240000004,-4.384182622,NA,NA,NA,2023-04-05T06:00:07Z
ejiEbmQ2_propGreen_main,117648,1.829061142,1.579952314,2.07816997,NA,NA,NA,2023-04-03T04:33:49Z
ejiEbmQ2_propMaroonRed_includeRecovery,147168,-5.061073292963894,-5.167152594093956,-4.954993991833833,-1.9502893632282505,-2.0421767939710187,-1.8584019324854824,2023-04-06T06:22:49Z
ejiEbmQ2_propMaroonRed_main,117648,-5.070930707,-5.17441686,-4.967444554,NA,NA,NA,2023-04-05T05:56:19Z
ejiEbmQ3_propGreen_main,121733,3.153005542,2.934225238,3.371785846,NA,NA,NA,2023-04-03T05:19:55Z
ejiEbmQ3_propMaroonRed_includeRecovery,152278,-6.977634034469079,-7.1035514934649395,-6.851716575473219,-4.169228036101459,-4.278299567206314,-4.060156504996604,2023-04-06T07:44:54Z
ejiEbmQ3_propMaroonRed_main,121733,-6.987456334,-7.112212466,-6.862700202,NA,NA,NA,2023-04-05T06:52:04Z
ejiHvmQ1_propGreen_main,109478,2.498424145,2.257674678,2.739173611,NA,NA,NA,2023-04-03T06:05:27Z
ejiHvmQ1_propMaroonRed_includeRecovery,136948,-6.552061722118313,-6.678467524577622,-6.425655919659004,-3.7390306254136823,-3.8485251667165428,-3.6295360841108217,2023-04-06T08:55:52Z
ejiHvmQ1_propMaroonRed_main,109478,-6.560381618,-6.683900544,-6.436862691,NA,NA,NA,2023-04-05T07:34:48Z
ejiHvmQ2_propGreen_main,124184,1.982248861,1.752701267,2.211796454,NA,NA,NA,2023-04-03T06:02:56Z
ejiHvmQ2_propMaroonRed_includeRecovery,155344,-6.112259540760414,-6.230471096116815,-5.994047985404014,-3.342042139494816,-3.4444387049896115,-3.2396455740000203,2023-04-06T08:46:18Z
ejiHvmQ2_propMaroonRed_main,124184,-6.113499628,-6.229013974,-5.997985282,NA,NA,NA,2023-04-05T07:30:13Z
ejiHvmQ3_propGreen_main,122550,2.544553654,2.305040263,2.784067046,NA,NA,NA,2023-04-03T05:59:56Z
ejiHvmQ3_propMaroonRed_includeRecovery,153300,-3.996041819961669,-4.087479713900224,-3.9046039260231145,-1.1721648983185995,-1.2513697295819777,-1.0929600670552213,2023-04-06T08:49:09Z
ejiHvmQ3_propMaroonRed_main,122550,-4.006047847,-4.09710871,-3.914986984,NA,NA,NA,2023-04-05T07:30:21Z
ejiQ1_propGreen_main,71079,2.815524754,2.488232678,3.14281683,NA,NA,NA,2023-04-03T03:19:32Z
ejiQ1_propMaroonRed_includeRecovery,88914,-6.636910219879237,-6.794680757604871,-6.479139682153603,-3.9150549608738934,-4.051718091230871,-3.7783918305169157,2023-04-06T04:28:11Z
ejiQ1_propMaroonRed_main,71079,-6.635211524,-6.789495668,-6.480927379,NA,NA,NA,2023-04-05T04:48:48Z
ejiQ2_propGreen_main,71079,2.399257322,2.104865709,2.693648936,NA,NA,NA,2023-04-03T03:20:48Z
